,id,previous_class_int,color_int,gender_int,reading_int,hobby_int,language_int,introverted_int,siblings,friend1,friend2
152,152,5,0,0,3,0,1,0,3,260,260
241,241,5,5,0,0,4,0,0,4,260,241
260,260,5,1,0,1,2,1,1,4,274,241
268,268,5,0,0,3,1,3,1,0,29,88
274,274,5,1,0,1,2,0,0,2,88,62
50,50,5,2,1,1,3,4,1,1,254,213
58,58,5,5,1,3,4,1,0,3,172,80
80,80,5,1,1,1,0,1,0,2,140,169
89,89,5,3,1,2,0,1,1,1,172,140
90,90,5,3,1,1,2,4,0,4,140,190
92,92,5,2,1,2,0,0,1,4,89,254
110,110,5,0,1,3,4,0,0,1,254,50
140,140,5,0,1,1,2,2,1,1,168,140
151,151,5,3,1,2,3,2,0,0,151,151
168,168,5,0,1,3,1,4,1,2,168,194
169,169,5,4,1,3,4,4,0,1,213,213
172,172,5,2,1,1,4,3,0,4,80,213
190,190,5,0,1,0,1,4,0,2,140,168
194,194,5,2,1,2,1,3,0,0,140,172
200,200,5,2,1,2,3,3,0,0,213,89
213,213,5,5,1,1,1,4,1,4,50,194
254,254,5,5,1,2,1,1,0,1,213,80
277,277,5,4,1,3,1,3,1,1,290,296
290,290,5,1,1,0,2,2,1,1,90,168
296,296,5,0,1,1,3,2,0,2,213,213
0,0,6,1,0,3,3,4,0,2,205,39
31,31,6,1,0,0,3,1,0,3,264,144
33,33,6,3,0,0,2,2,0,4,125,264
39,39,6,4,0,0,1,3,1,0,71,205
45,45,6,2,0,3,3,1,1,0,0,74
63,63,6,5,0,1,1,3,0,2,125,205
70,70,6,0,0,2,3,0,1,2,205,264
71,71,6,2,0,1,3,1,1,0,205,97
72,72,6,3,0,1,0,1,1,0,45,63
74,74,6,1,0,2,2,1,0,2,39,74
85,85,6,4,0,0,3,0,1,3,214,71
97,97,6,0,0,1,1,0,0,3,45,144
125,125,6,1,0,0,0,1,1,0,74,39
144,144,6,1,0,0,2,3,0,1,144,272
148,148,6,4,0,0,4,3,0,3,144,33
205,205,6,4,0,1,0,3,0,0,144,31
214,214,6,5,0,2,2,1,0,2,97,31
264,264,6,0,0,2,2,2,1,4,63,144
272,272,6,3,0,0,3,1,0,4,264,205
11,11,6,4,1,0,0,4,0,1,199,100
34,34,6,5,1,3,2,2,0,0,219,219
44,44,6,4,1,1,1,4,0,4,251,34
54,54,6,2,1,0,4,2,0,2,199,251
65,65,6,0,1,1,4,1,1,4,54,251
68,68,6,5,1,1,1,4,1,4,219,11
100,100,6,3,1,0,1,1,0,4,141,11
132,132,6,4,1,3,2,1,1,2,165,132
139,139,6,3,1,0,3,1,1,4,251,212
141,141,6,5,1,1,2,3,0,1,132,199
160,160,6,1,1,0,4,3,1,1,250,219
165,165,6,3,1,0,1,4,0,2,141,242
199,199,6,2,1,1,1,3,1,0,242,219
208,208,6,5,1,3,3,2,1,1,165,251
212,212,6,0,1,2,0,4,1,2,242,34
219,219,6,5,1,1,3,0,1,2,160,65
242,242,6,2,1,3,3,0,1,1,199,242
248,248,6,2,1,2,0,0,1,2,219,54
250,250,6,3,1,2,1,1,1,2,165,11
251,251,6,4,1,3,3,0,1,2,199,251
28,28,7,5,0,0,1,4,0,1,164,158
38,38,7,0,0,0,2,0,0,0,77,164
61,61,7,3,0,2,2,2,0,0,164,121
67,67,7,5,0,0,2,2,0,3,143,180
77,77,7,5,0,1,0,0,1,4,255,122
81,81,7,4,0,2,2,4,0,1,180,143
96,96,7,2,0,3,3,3,1,0,61,28
116,116,7,3,0,0,4,2,1,2,130,143
121,121,7,1,0,3,3,3,1,3,96,116
122,122,7,0,0,1,2,3,1,3,158,61
130,130,7,5,0,1,4,4,1,0,164,143
143,143,7,0,0,2,3,1,0,4,180,209
146,146,7,1,0,3,3,4,1,2,77,67
158,158,7,5,0,1,0,0,0,4,28,143
164,164,7,2,0,2,4,0,1,1,130,28
180,180,7,3,0,2,4,4,0,0,143,61
189,189,7,4,0,3,4,1,1,0,180,77
209,209,7,1,0,3,1,4,1,2,209,143
215,215,7,4,0,0,4,2,1,0,28,255
255,255,7,3,0,1,1,0,0,1,215,189
297,297,7,0,0,0,4,1,0,3,96,116
7,7,7,4,1,3,4,1,1,1,276,27
19,19,7,3,1,3,0,4,0,4,293,293
27,27,7,0,1,3,2,3,0,4,237,43
41,41,7,3,1,2,3,0,1,0,276,237
43,43,7,1,1,1,4,4,1,3,7,235
150,150,7,1,1,3,4,3,0,4,41,27
171,171,7,3,1,0,1,4,0,2,19,19
175,175,7,2,1,2,1,2,1,3,171,237
235,235,7,2,1,3,0,1,0,0,19,235
237,237,7,4,1,2,2,0,0,1,293,43
276,276,7,3,1,1,4,1,1,2,43,293
285,285,7,2,1,2,1,3,1,0,19,293
286,286,7,0,1,0,3,3,0,3,43,41
293,293,7,4,1,2,1,4,1,4,19,150
3,3,8,1,0,1,4,1,0,4,183,60
9,9,8,4,0,1,2,2,0,2,32,183
13,13,8,3,0,0,4,1,1,4,32,178
32,32,8,1,0,2,3,3,0,0,13,178
60,60,8,0,0,2,3,3,0,0,94,124
94,94,8,2,0,2,1,0,0,4,3,178
124,124,8,5,0,3,1,4,1,2,244,94
135,135,8,3,0,1,0,4,0,2,32,32
178,178,8,4,0,2,3,0,0,1,94,244
183,183,8,4,0,0,1,1,0,3,3,9
211,211,8,5,0,2,2,2,0,0,124,94
222,222,8,3,0,0,0,2,0,1,135,124
244,244,8,0,0,0,2,2,0,4,94,183
46,46,8,2,1,3,2,2,1,3,159,181
51,51,8,2,1,1,4,0,1,1,245,245
57,57,8,5,1,3,1,0,1,0,127,101
87,87,8,4,1,3,2,2,1,2,245,87
101,101,8,5,1,0,3,3,0,4,51,101
103,103,8,1,1,0,1,3,0,3,51,101
127,127,8,5,1,2,3,3,0,3,46,57
159,159,8,2,1,3,2,2,0,1,101,245
162,162,8,3,1,1,3,4,1,3,101,101
181,181,8,0,1,2,4,2,1,2,46,51
245,245,8,3,1,0,1,2,1,4,159,162
22,22,9,1,0,2,4,4,0,0,173,203
25,25,9,0,0,0,1,4,1,1,187,267
42,42,9,1,0,0,0,1,1,0,226,22
69,69,9,0,0,0,0,0,1,2,185,25
102,102,9,1,0,0,1,1,1,4,173,42
106,106,9,5,0,3,3,0,1,0,187,69
136,136,9,3,0,0,2,4,0,2,106,238
166,166,9,4,0,2,0,0,0,0,269,187
173,173,9,1,0,3,1,2,0,4,267,25
185,185,9,2,0,2,2,3,0,1,263,269
187,187,9,1,0,3,1,3,1,3,102,102
193,193,9,2,0,0,1,4,1,1,173,269
203,203,9,2,0,0,4,3,0,4,187,238
226,226,9,2,0,0,3,4,0,3,185,173
234,234,9,2,0,1,1,4,0,4,226,102
238,238,9,5,0,0,2,3,1,2,203,106
263,263,9,1,0,2,3,2,0,3,269,238
267,267,9,2,0,3,4,4,0,4,185,193
269,269,9,3,0,1,0,0,1,3,42,267
16,16,9,3,1,2,0,3,0,2,177,198
48,48,9,1,1,3,2,1,1,4,126,177
56,56,9,0,1,1,4,0,1,2,48,198
76,76,9,4,1,1,0,0,0,1,126,280
119,119,9,1,1,1,4,1,1,1,48,280
120,120,9,3,1,1,4,4,1,0,119,76
126,126,9,1,1,0,2,3,0,2,198,198
170,170,9,0,1,0,0,1,1,4,170,120
177,177,9,3,1,3,0,0,0,4,119,120
198,198,9,1,1,3,2,4,0,2,126,177
253,253,9,3,1,1,3,4,0,3,56,198
280,280,9,5,1,3,0,2,0,3,280,126
