,id,previous_class_int,color_int,gender_int,reading_int,hobby_int,language_int,introverted_int,siblings,friend1,friend2
35,35,10,1,1,0,4,1,0,3,143,25
73,73,10,4,1,3,4,2,0,3,73,143
143,143,10,1,1,2,3,2,1,1,73,73
115,115,11,1,0,1,4,2,1,0,116,115
116,116,11,1,0,2,2,0,0,1,132,115
132,132,11,5,0,1,4,3,1,2,149,116
149,149,11,0,0,2,3,1,0,3,115,132
6,6,11,1,1,3,3,1,0,3,126,6
108,108,11,2,1,1,0,0,1,1,108,126
117,117,11,3,1,2,0,0,1,1,6,126
126,126,11,2,1,2,0,2,0,0,126,126
18,18,12,5,0,1,1,3,1,1,18,47
31,31,12,1,0,0,0,1,1,2,47,47
47,47,12,3,0,2,0,1,1,1,123,18
123,123,12,3,0,1,2,2,1,4,31,31
94,94,12,1,1,2,1,4,0,2,94,94
97,97,12,1,1,3,3,0,0,4,106,94
106,106,12,5,1,0,1,0,0,1,106,94
0,0,13,0,0,1,0,4,1,1,119,119
36,36,13,1,0,2,3,3,1,1,38,119
38,38,13,4,0,3,0,1,0,3,119,0
43,43,13,2,0,1,2,0,0,2,119,0
119,119,13,3,0,2,1,0,1,0,0,0
7,7,13,1,1,2,0,4,0,4,59,59
23,23,13,2,1,2,1,2,0,3,7,59
59,59,13,5,1,3,3,2,0,1,59,7
2,2,14,5,0,1,1,1,1,4,125,2
5,5,14,2,0,1,1,1,0,3,125,75
40,40,14,1,0,0,4,0,0,1,5,5
53,53,14,0,0,3,2,4,1,2,40,5
75,75,14,4,0,0,2,0,1,2,75,2
86,86,14,2,0,0,3,2,0,3,2,75
125,125,14,0,0,2,4,0,1,2,125,5
33,33,14,3,1,0,2,2,1,1,67,33
50,50,14,3,1,0,3,1,0,1,33,67
51,51,14,2,1,1,2,0,1,3,51,33
63,63,14,0,1,2,0,1,1,3,50,50
67,67,14,1,1,2,1,0,1,4,51,51
