,id,previous_class_int,color_int,gender_int,reading_int,hobby_int,language_int,introverted_int,siblings,friend1,friend2
225,225,12,4,0,2,4,1,0,2,202,88
274,274,12,2,0,3,3,0,0,3,132,26
22,22,12,4,1,3,3,1,1,4,168,270
106,106,12,2,1,0,2,4,0,4,115,168
115,115,12,3,1,1,2,0,0,3,168,22
139,139,12,5,1,1,3,3,0,3,115,22
168,168,12,4,1,2,0,1,0,0,139,241
187,187,12,0,1,3,2,1,0,2,115,22
206,206,12,0,1,3,2,3,0,1,241,241
241,241,12,3,1,1,1,4,1,0,168,22
270,270,12,3,1,1,3,3,0,1,139,168
9,9,13,4,0,2,4,0,0,1,228,181
16,16,13,1,0,0,4,2,0,0,62,45
25,25,13,4,0,2,4,1,0,0,62,295
40,40,13,2,0,3,1,3,0,4,295,117
45,45,13,0,0,0,1,1,1,3,16,16
62,62,13,5,0,3,4,3,0,2,228,228
70,70,13,5,0,3,0,0,1,4,298,181
117,117,13,5,0,2,3,3,0,4,181,181
181,181,13,2,0,1,2,2,1,2,117,9
211,211,13,4,0,2,3,1,0,1,16,45
228,228,13,0,0,1,4,0,0,3,9,298
295,295,13,3,0,2,0,1,0,3,298,228
298,298,13,1,0,3,0,4,0,2,117,181
28,28,13,2,1,0,3,2,0,3,144,55
30,30,13,0,1,0,3,4,1,1,144,144
35,35,13,1,1,3,4,3,1,0,44,44
44,44,13,2,1,2,2,4,0,0,248,253
55,55,13,0,1,2,0,3,0,2,28,137
90,90,13,2,1,1,2,4,1,0,248,137
137,137,13,2,1,2,3,4,0,4,248,55
144,144,13,4,1,3,1,4,0,1,35,35
198,198,13,3,1,3,2,0,1,4,35,35
248,248,13,2,1,0,2,0,0,3,44,290
253,253,13,0,1,1,1,1,1,1,290,248
290,290,13,2,1,1,0,1,0,0,44,253
169,169,14,2,0,0,4,4,0,4,261,227
173,173,14,4,0,0,0,1,1,4,227,169
227,227,14,5,0,3,0,3,1,3,261,261
261,261,14,3,0,1,3,4,1,3,227,227
262,262,14,1,0,3,3,1,1,4,227,227
13,13,14,5,1,2,1,2,1,3,233,233
31,31,14,5,1,2,0,2,1,1,87,233
69,69,14,3,1,3,4,0,0,0,13,231
87,87,14,4,1,0,2,1,0,4,231,31
220,220,14,2,1,1,4,1,0,1,231,87
231,231,14,2,1,2,0,3,1,0,233,69
233,233,14,3,1,1,4,1,1,4,69,278
275,275,14,1,1,1,4,0,0,0,13,13
278,278,14,2,1,3,1,4,0,4,233,233
