id,city_int,color_int,gender_int,reading_int,hobby_int,language_int,introverted_int,siblings,friend1,friend2
51,2,5,0,0,1,4,0,4,120,224
69,2,5,0,0,2,3,1,0,262,118
72,2,3,0,0,2,1,0,0,208,131
88,2,4,0,3,4,0,0,1,138,94
94,2,1,0,3,0,2,0,1,2,153
118,2,2,0,0,1,0,0,0,265,180
120,2,5,0,1,3,4,1,4,94,194
131,2,5,0,3,1,1,1,1,290,138
138,2,1,0,3,0,3,1,3,290,194
153,2,0,0,2,0,2,0,0,153,72
180,2,1,0,2,2,3,0,3,185,185
185,2,1,0,0,3,0,0,2,72,94
194,2,3,0,1,0,4,0,1,2,120
208,2,4,0,0,2,2,0,2,268,268
220,2,5,0,1,0,2,0,1,286,51
224,2,3,0,3,3,2,0,1,268,194
256,2,3,0,1,0,3,0,3,138,194
262,2,1,0,3,4,1,1,0,268,220
265,2,5,0,1,3,3,1,2,94,94
268,2,4,0,0,0,0,1,4,94,265
275,2,3,0,2,2,2,1,3,265,10
285,2,0,0,2,0,4,0,2,290,265
286,2,4,0,2,1,4,0,2,180,72
290,2,1,0,3,3,1,0,0,194,120
298,2,0,0,2,2,2,0,0,285,194
17,2,3,1,3,4,2,1,0,98,293
28,2,1,1,0,3,3,0,1,144,241
37,2,3,1,3,0,4,0,0,37,144
38,2,1,1,0,2,4,0,4,241,73
41,2,5,1,3,4,3,0,3,41,111
43,2,0,1,0,0,3,1,2,222,38
52,2,5,1,0,1,0,0,4,293,277
73,2,2,1,2,2,3,0,1,80,181
80,2,1,1,2,3,0,1,0,175,227
98,2,5,1,2,1,3,1,0,175,111
108,2,3,1,2,3,0,1,3,181,292
111,2,2,1,3,4,4,1,2,111,181
121,2,2,1,1,2,0,1,0,111,121
142,2,5,1,1,1,1,0,3,38,292
144,2,2,1,2,4,2,0,1,121,260
168,2,2,1,1,1,2,1,2,192,260
175,2,0,1,2,1,1,1,0,142,260
181,2,5,1,2,2,3,0,3,37,192
192,2,1,1,1,3,3,1,2,121,247
209,2,4,1,2,2,1,1,3,80,52
222,2,5,1,2,0,2,0,0,17,292
227,2,4,1,3,3,0,0,1,43,277
241,2,4,1,2,3,3,1,3,292,121
247,2,5,1,2,3,4,1,3,260,181
248,2,4,1,3,3,4,0,4,41,142
255,2,4,1,2,4,1,0,3,52,277
260,2,5,1,2,4,0,0,2,80,248
277,2,3,1,3,1,2,1,0,175,297
292,2,2,1,2,1,0,1,4,80,142
293,2,1,1,0,4,4,1,1,293,222
297,2,1,1,3,3,1,1,1,292,293
14,3,5,0,3,0,3,1,1,147,83
16,3,5,0,2,1,1,0,4,254,176
18,3,4,0,3,2,1,1,3,276,219
45,3,3,0,3,4,3,1,1,125,287
49,3,4,0,3,4,0,0,4,269,182
58,3,2,0,0,4,1,1,0,254,251
61,3,3,0,1,3,4,0,2,269,276
77,3,1,0,0,4,2,0,3,49,125
83,3,3,0,0,2,3,0,4,14,45
93,3,3,0,0,1,4,0,4,58,287
97,3,3,0,2,4,3,1,0,93,287
125,3,4,0,2,0,0,1,4,225,287
127,3,4,0,3,3,0,0,0,219,203
128,3,0,0,2,3,1,1,2,276,276
146,3,1,0,0,0,0,0,1,14,83
147,3,0,0,1,2,1,1,2,127,97
159,3,5,0,3,0,1,1,1,125,254
176,3,4,0,3,4,2,0,1,287,182
182,3,3,0,3,0,4,1,1,225,230
203,3,3,0,1,3,2,1,0,219,45
219,3,0,0,3,1,3,0,2,125,261
221,3,1,0,3,2,2,1,1,182,230
225,3,1,0,0,2,4,1,1,203,251
230,3,1,0,2,0,4,1,0,14,254
246,3,3,0,2,1,2,0,2,49,254
251,3,1,0,2,1,1,0,4,45,276
254,3,3,0,0,2,4,0,2,58,225
261,3,2,0,1,3,2,0,4,128,147
269,3,0,0,1,4,4,0,4,225,203
276,3,4,0,0,4,3,1,3,221,45
287,3,0,0,3,0,1,0,1,287,127
4,3,1,1,1,0,2,0,3,85,294
60,3,0,1,3,3,1,1,4,190,105
67,3,5,1,3,0,2,0,3,190,107
84,3,2,1,0,2,1,0,3,211,95
85,3,3,1,3,3,2,0,3,150,199
95,3,1,1,2,1,3,0,2,264,264
100,3,0,1,2,2,4,0,4,264,67
105,3,3,1,3,3,3,1,0,60,211
107,3,0,1,2,3,4,0,0,211,294
132,3,0,1,0,2,1,0,4,193,155
150,3,1,1,2,4,4,0,3,294,100
155,3,3,1,2,4,4,1,1,4,4
169,3,5,1,0,1,0,0,2,294,264
190,3,1,1,0,4,4,1,2,264,67
193,3,3,1,0,2,0,0,3,95,215
196,3,1,1,1,3,2,0,2,294,215
199,3,5,1,0,1,3,0,3,4,85
211,3,5,1,2,0,1,0,4,190,190
212,3,4,1,2,4,0,1,4,215,95
215,3,2,1,1,2,2,0,1,264,85
264,3,2,1,2,3,4,0,1,85,155
274,3,5,1,1,2,4,0,2,67,155
294,3,0,1,3,0,4,1,3,95,211
1,4,0,0,0,4,2,1,4,115,179
5,4,1,0,2,1,4,0,2,115,231
25,4,2,0,0,4,1,1,0,149,115
50,4,4,0,2,3,4,1,4,50,207
66,4,1,0,1,3,1,0,4,279,279
68,4,5,0,3,0,1,1,0,5,110
86,4,2,0,0,4,0,1,4,223,113
110,4,5,0,0,0,3,1,0,135,115
113,4,5,0,0,1,3,1,2,207,279
115,4,2,0,1,0,2,1,4,149,1
117,4,3,0,1,0,2,0,4,216,149
135,4,0,0,2,0,1,1,3,289,5
149,4,5,0,2,0,3,1,4,179,258
161,4,0,0,0,2,0,1,2,279,135
172,4,5,0,2,2,0,1,4,68,113
179,4,1,0,1,0,3,0,1,216,291
206,4,5,0,2,0,2,1,2,207,172
207,4,1,0,2,2,3,0,3,279,216
216,4,1,0,0,0,1,1,0,279,50
223,4,4,0,0,0,3,1,2,231,289
231,4,3,0,0,1,1,0,0,5,179
232,4,2,0,0,2,3,1,3,113,223
258,4,5,0,0,1,2,0,3,68,135
266,4,0,0,1,4,2,0,4,50,279
279,4,0,0,3,1,3,0,2,216,50
289,4,0,0,3,0,1,0,4,5,291
291,4,4,0,3,0,1,1,3,231,115
0,4,1,1,0,2,4,0,4,284,65
8,4,5,1,2,3,3,1,4,40,8
15,4,1,1,1,4,3,0,4,64,156
24,4,3,1,0,4,1,0,2,156,0
26,4,5,1,1,0,1,1,0,263,26
40,4,3,1,2,0,3,1,3,178,0
64,4,0,1,2,1,2,0,1,78,99
65,4,0,1,3,1,4,1,1,263,26
75,4,1,1,2,4,1,1,3,15,213
78,4,3,1,2,4,2,0,0,263,26
81,4,1,1,1,4,1,0,1,64,187
90,4,5,1,0,0,2,0,2,163,78
99,4,5,1,0,0,4,1,2,99,99
102,4,1,1,3,1,3,0,0,26,90
103,4,1,1,0,3,3,1,0,8,64
126,4,4,1,2,2,4,1,3,64,136
136,4,5,1,0,0,2,0,0,78,90
145,4,5,1,2,1,4,1,3,136,299
156,4,1,1,0,3,0,1,0,167,136
163,4,1,1,1,4,0,1,0,126,263
167,4,3,1,2,1,2,1,3,24,8
178,4,2,1,1,0,0,0,1,136,178
187,4,1,1,3,3,3,0,4,299,163
197,4,5,1,1,3,1,0,4,24,65
200,4,5,1,3,4,1,0,4,64,26
213,4,1,1,3,4,0,0,1,263,15
240,4,2,1,2,4,4,1,4,136,240
242,4,4,1,1,4,2,0,2,163,99
243,4,3,1,0,0,2,0,1,167,278
263,4,2,1,3,3,2,0,1,15,0
278,4,5,1,3,2,2,1,4,197,263
284,4,0,1,3,1,4,1,4,178,78
299,4,0,1,3,1,1,0,0,64,15
